BH-001	BH-002	BH-003	BH-004	BH-005	BH-006	BH-007	BH-008	CUC-001	CUC-002	CUC-003	CUC-004	CUC-005	CUC-006	CUC-007	CUC-008	FC-001	FC-002	FC-003	FC-004	FC-005	FC-006	FC-007	FC-008	FH-001	FH-002	FH-003	FH-004	FH-005	FH-006	FH-007	FH-008	FOC-001	FOC-002	FOC-003	HC-001	HC-002	HC-003	HC-004	HC-005	HC-006	HC-007	HC-008	HC-009	Hos-001	Hos-002	Hos-003	Hos-004	Hos-005	Hos-006	Hos-007	Hos-008	MLC-001	MLC-002	MLC-003	MLC-004	MLC-005	MLC-006	MLC-007	MLC-008	MLLH-001	MLLH-002	MLLH-003	MLLH-004	MLLH-005	MLLH-006	MLLH-007	MLLH-008	PLLC-001	PLLC-002	PLLC-003	PLLC-004	PLLC-005	PLLC-006	PLLC-007	PLLC-008	PWH-001	PWH-002	PWH-003	PWH-004	PWH-005	PWH-006	SCU-001	SCU-002	SCU-003	SCU-004	SCU-005	SCU-006	SCU-007	SCU-008	Kingdom	Phylum	Class	Order	Family	Genus
233	42	1376	95	191	544	30	2	221	127	2	45	48	61	601	2	610	0	1	0	0	1	260	19	2907	1	79	3	98	1	0	0	12	57	52	0	0	0	0	11676	1	0	7	6	4	623	10	60	2	3	277	198	166	82	285	430	1	265	0	16	3	10	1	3953	1	131	16	142	57	40	1719	65	92	268	642	1	677	46	1	496	6626	557	150	284	426	87	203	155	314	205	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	NA
0	0	1210	0	0	0	0	0	0	1	2	0	3	2	1	5	723	3	5	0	0	5	0	480	321	0	0	53	0	0	1	0	0	1	0	2	3	0	1	18471	0	1	4	0	2	0	1	0	2	0	9	0	249	29	4	1810	0	2660	0	2182	1	22	360	3458	2	510	480	34	537	240	1849	31	96	485	9	55	1	10	5	20	1644	34	1	3	0	2	0	0	1	0	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema_2
97	50	157	61	187	278	57	39	93	54	381	260	85	109	399	554	228	1	23	3	1	75	334	60	320	13051	108	323	181	7	357	461	29	98	135	14	896	4	6	341	17	0	7	0	28	66	118	98	2	31	165	60	302	48	165	253	7	147	1	96	926	1533	446	1060	139	124	374	27	99	48	3326	162	267	97	1226	453	108	325	119	157	2345	258	190	174	605	383	74	272	164	829	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella_4
233	157	157	132	329	464	64	28	398	207	682	238	125	260	461	468	726	33	259	55	6	70	571	778	274	3850	200	475	605	32	207	509	107	308	377	10	7	83	7	2668	857	219	497	27	281	53	266	371	31	231	459	651	506	250	292	502	48	439	40	496	705	118	158	877	245	190	226	198	266	152	3987	201	352	248	469	564	160	264	219	137	2459	233	120	147	359	318	166	87	111	154	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
99	62	446	38	213	165	86	103	128	134	103	994	522	83	269	399	206	1001	5242	1930	1119	1836	315	155	134	808	34	175	203	296	372	327	194	141	205	2	3	1	0	210	3	5	7	3	24	247	81	87	3166	20	179	108	184	139	138	353	1176	271	1087	439	118	126	1849	1267	139	147	249	136	158	89	1738	147	357	212	260	166	16	252	7	86	1154	203	88	102	198	183	84	125	95	156	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-005
618	491	1422	333	745	743	533	6	124	82	6	135	178	24	277	228	121	4	195	17	16	246	1285	621	42	259	303	194	247	12	334	983	586	384	376	2	3	1	3	1228	4	4	5	2	203	204	183	417	4	134	207	1530	247	211	375	774	15	453	10	170	110	21	205	4361	1049	184	238	400	343	250	3396	183	948	242	101	609	132	309	6	279	1501	110	113	297	1011	361	313	64	143	11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	354	1	0	0	0	4	0	33	4	38	1	0	36	1	0	0	0	0	0	0	1	4	0	22245	1	0	4	3	0	0	0	0	0	0	391	0	199	38	2	566	0	366	0	9	122	3	0	2	109	124	45	2	229	151	5162	60	136	68	0	54	0	0	0	0	3732	1	15	0	1	0	0	0	0	1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA
211	222	458	110	505	607	113	27	492	279	281	89	72	167	256	510	309	1	36	5	3	61	165	409	414	3145	89	466	249	3	179	697	276	466	322	5	1	0	1	56	14	7	88	1	20	506	190	148	12	139	298	329	456	149	529	638	1	146	3	375	746	1696	219	1193	77	141	449	71	114	43	3048	277	278	361	1275	749	23	94	248	87	1189	513	234	254	851	842	204	484	234	979	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
153	126	891	64	349	242	175	123	276	193	139	188	86	164	567	629	195	16	166	19	13	210	523	204	114	861	52	206	225	7	406	293	367	235	249	1	2	31	0	676	45	17	440	0	24	313	152	190	55	95	258	236	209	163	276	314	38	416	32	608	136	163	340	2415	97	212	201	186	249	125	1900	172	261	303	171	333	157	482	565	410	6533	625	208	207	290	340	116	143	130	140	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-005
114	60	0	10	92	162	82	2	173	105	3	27	33	38	133	3	524	2	10	37	1	41	296	247	2	195	123	380	375	2	120	215	33	18	16	0	2	1	0	5339	0	1	1	1	3	839	141	153	1	81	1514	60	277	139	196	755	3	411	13	320	431	30	9	2	83	267	290	88	244	150	11986	389	199	195	225	280	1	2	3	0	6	2	158	24	144	153	15	12	166	15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-001
