BH-001	BH-002	BH-003	BH-004	BH-005	BH-006	BH-007	BH-008	CUC-001	CUC-002	CUC-003	CUC-004	CUC-005	CUC-006	CUC-007	CUC-008	FC-001	FC-002	FC-003	FC-004	FC-005	FC-006	FC-007	FC-008	FH-001	FH-002	FH-003	FH-004	FH-005	FH-006	FH-007	FH-008	FOC-001	FOC-002	FOC-003	HC-001	HC-002	HC-003	HC-004	HC-005	HC-006	HC-007	HC-008	HC-009	Hos-001	Hos-002	Hos-003	Hos-004	Hos-005	Hos-006	Hos-007	Hos-008	MLC-001	MLC-002	MLC-003	MLC-004	MLC-005	MLC-006	MLC-007	MLC-008	MLLH-001	MLLH-002	MLLH-003	MLLH-004	MLLH-005	MLLH-006	MLLH-007	MLLH-008	PLLC-001	PLLC-002	PLLC-003	PLLC-004	PLLC-005	PLLC-006	PLLC-007	PLLC-008	PWH-001	PWH-002	PWH-003	PWH-004	PWH-005	PWH-006	SCU-001	SCU-002	SCU-003	SCU-004	SCU-005	SCU-006	SCU-007	SCU-008	Kingdom	Phylum	Class	Order	Family	Genus
5	1	0	1	6	26	10	360	30	7	0	23	16	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	38	16	2	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	3	0	0	7	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	1	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group
14	16	1	0	25	21	3	6	7	13	114	1	5	7	3	3	0	0	0	0	0	0	0	39	0	0	3	0	0	1	0	11	2	4	2	0	0	0	0	1	19	0	0	0	0	32	3	6	0	7	1	41	4	0	26	0	0	0	0	0	22	23	0	5	0	0	0	0	5	0	2	1	1	10	0	24	0	1	0	0	1	1	4	4	5	11	0	0	6	1	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-013
1	2	3	0	0	0	0	0	0	5	0	1	0	5	4	23	5	0	0	0	0	1	36	7	0	8	1	0	0	0	39	27	0	1	2	0	0	0	0	0	3	128	0	0	0	1	4	0	0	1	17	0	0	7	0	11	0	12	0	26	0	0	0	23	11	2	6	4	1	0	38	0	23	3	3	2	0	33	0	0	4	0	2	3	3	5	4	14	1	1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_vadinBB60_group	NA
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	17	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	514	0	4	1	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-014
7	6	23	0	4	1	3	0	0	10	9	0	0	1	3	0	11	0	0	0	0	0	11	2	5	19	0	7	17	0	1	2	5	1	3	0	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	4	4	0	4	5	0	10	0	10	4	2	0	70	2	3	0	0	1	2	24	0	2	5	1	8	0	3	0	0	224	7	0	1	0	4	3	0	2	1	Bacteria	Tenericutes	Mollicutes	Mollicutes_RF39	NA	NA
0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	27	0	3	0	5	11	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	9	3	1	0	13	0	15	15	22	19	3	3	2	22	14	4	0	161	5	0	13	0	2	0	169	0	0	3	1	0	0	0	5	0	0	0	0	Bacteria	Tenericutes	Mollicutes	Mollicutes_RF39	NA	NA
24	11	0	10	35	30	4	4	8	3	10	2	0	7	0	0	8	0	0	0	0	0	0	3	0	0	3	18	7	0	0	0	16	20	15	0	0	0	0	0	0	0	0	2	0	53	5	8	0	2	2	9	0	9	21	5	0	1	0	0	0	14	0	0	3	9	1	7	4	0	0	6	0	5	0	16	0	0	0	0	68	0	4	14	23	18	5	1	5	5	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
0	0	0	0	0	3	1	8	0	0	0	21	7	0	2	2	0	4	177	1	55	28	0	0	0	3	0	0	0	128	0	0	2	0	1	0	0	0	0	0	0	2	0	0	5	0	1	0	0	0	0	1	0	0	1	0	17	0	51	0	0	11	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	Bacteria	Firmicutes	NA	NA	NA	NA
2	2	1	2	8	18	2	18	3	23	10	5	1	4	3	0	38	0	26	0	0	18	0	16	0	102	0	1	6	2	1	2	2	3	2	0	0	1	0	0	1	0	0	0	1	11	6	6	0	1	21	10	5	5	5	9	0	0	1	7	3	7	5	4	5	1	11	2	8	2	8	1	8	4	9	0	0	1	2	1	21	4	0	5	23	7	3	1	3	1	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_6
0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	6	29	2	1	14	0	7	9	0	0	1	0	0	0	0	0	0	0	84	0	0	0	0	0	2	0	1	0	0	20	0	26	5	0	0	0	7	0	12	0	1	2	27	4	0	3	3	5	43	181	2	23	3	0	0	0	5	0	4	12	0	0	0	3	2	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio
0	0	0	0	0	0	0	5	0	0	0	245	75	0	0	0	0	47	68	26	6	8	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	29	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	0	0	0	0	1	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus_2
1	1	2	2	26	8	1	0	4	5	4	0	26	5	11	0	23	0	3	1	0	0	36	31	37	17	3	13	22	2	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	8	2	0	0	4	0	18	3	2	14	6	0	5	0	0	0	0	0	2	1	4	0	1	7	0	0	17	0	6	11	1	0	3	0	0	6	0	9	15	56	25	4	24	3	4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
1	2	19	0	10	10	3	3	5	3	3	3	0	0	3	2	1	0	0	0	1	0	0	0	0	3	0	0	1	18	1	3	21	6	12	0	0	0	0	1	0	0	0	0	0	1	9	3	0	5	0	9	0	2	2	0	0	0	3	0	1	1	0	39	0	1	0	1	1	0	0	0	0	0	3	0	56	0	0	7	234	4	2	1	8	7	1	0	3	20	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group
31	17	0	3	25	14	1	0	0	15	41	4	1	4	2	0	0	0	1	0	0	0	2	0	1	0	8	4	0	0	0	2	5	27	5	0	0	0	0	2	0	0	0	0	0	41	9	0	0	2	0	1	1	0	38	1	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	4	2	14	0	0	0	0	0	0	2	0	23	9	13	46	31	51	48	3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
10	0	0	2	5	34	0	1	19	2	249	14	1	23	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	8	0	1	0	1	0	0	0	0	0	0	34	22	0	0	0	0	21	0	6	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	2	42	5	0	0	0	0	0	0	0	0	0	1	7	8	12	0	1	0	9	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
4	7	16	5	17	36	5	0	6	2	0	10	12	0	4	0	0	0	0	0	0	1	1	3	3	28	3	1	6	8	0	1	15	12	14	0	0	0	0	0	0	0	0	0	2	10	4	9	0	6	0	7	2	2	49	11	0	0	1	0	2	3	0	37	1	2	0	9	4	0	1	0	0	3	0	3	4	6	0	1	87	8	3	11	14	22	7	0	4	3	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	3	540	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA
13	1	0	3	11	22	9	0	1	0	0	4	0	1	16	15	7	0	0	0	0	0	6	22	7	6	1	7	12	0	0	18	3	12	42	0	0	0	0	0	0	0	0	0	0	0	1	5	0	7	1	24	5	7	29	2	0	4	0	7	9	2	0	0	5	1	12	2	3	2	2	1	6	23	0	18	0	0	0	0	0	1	17	15	35	36	13	16	4	3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	dgA-11_gut_group
6	2	3	2	8	4	2	0	4	2	3	3	0	1	8	5	0	0	0	0	2	0	2	5	0	61	0	0	6	0	8	10	6	7	8	0	0	24	0	0	15	10	14	0	0	2	0	5	0	0	1	3	0	0	7	5	0	0	0	0	0	7	10	34	0	1	3	0	1	0	3	0	4	1	3	4	0	47	133	9	4	0	8	7	9	8	1	3	3	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-010
7	6	12	10	24	30	4	0	7	30	1	7	0	1	4	1	0	0	0	0	0	1	0	0	0	0	5	2	11	0	0	0	9	17	1	0	0	0	0	0	0	0	0	0	0	9	4	30	0	6	0	17	0	0	29	1	0	0	0	0	0	0	0	53	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	8	84	2	15	9	28	18	21	0	24	3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-010
0	0	0	0	1	20	0	0	20	134	6	0	0	5	4	11	32	0	0	0	0	0	1	25	1	1	14	5	11	0	1	0	0	0	0	0	1	0	0	40	1	2	0	0	0	0	0	6	0	0	0	30	18	2	0	35	0	3	0	0	30	0	0	6	1	11	11	4	18	1	2	2	0	1	0	3	1	0	0	0	18	2	5	3	0	0	5	0	2	0	Bacteria	Firmicutes	NA	NA	NA	NA
1	0	8	0	0	0	0	0	0	7	7	5	5	5	11	58	4	0	0	0	0	1	9	1	5	48	1	8	7	0	14	9	0	0	1	0	0	0	0	4	0	0	1	0	0	10	3	3	0	0	5	1	6	1	0	17	0	11	0	18	7	0	0	22	2	5	11	1	2	5	134	5	15	11	15	14	0	4	0	1	0	1	0	0	0	0	0	4	0	1	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA
5	8	1	0	6	14	7	118	17	4	28	50	88	3	6	6	0	0	0	0	7	0	1	0	0	0	0	0	0	29	0	0	9	5	4	0	0	0	0	0	0	0	0	0	9	1	2	2	0	4	1	2	0	0	20	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	6	0	2	1	9	11	0	1	3	60	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group
0	0	0	1	0	0	0	7	0	0	2	20	13	1	0	0	0	11	219	24	35	34	0	0	6	11	1	0	0	33	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	4	0	0	19	0	0	0	0	0	7	0	5	0	3	1	0	1	67	0	2	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	Bacteria	Tenericutes	Mollicutes	Mollicutes_RF39	NA	NA
0	0	0	0	0	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-003
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	7	2	73	18	1	0	1	17	2	33	0	7	10	0	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	1	0	2	9	0	11	10	3	0	43	22	2	27	0	0	2	9	1	2	0	68	0	34	9	8	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus
12	6	0	6	29	23	3	0	1	16	19	1	3	2	1	1	16	0	0	0	0	0	0	4	0	0	9	10	9	0	0	1	1	9	5	0	0	0	0	0	0	0	0	0	0	19	7	4	0	3	1	15	10	3	39	20	0	0	0	0	2	0	0	1	0	7	5	10	4	0	1	0	0	9	1	8	12	4	0	1	8	0	14	14	37	38	11	24	10	24	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	NA
0	0	0	0	0	0	0	0	0	0	1	350	53	0	0	4	0	6	47	3	11	36	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	2	9	0	0	0	0	0	0	0	2	0	2	0	0	0	8	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-010
0	0	0	0	0	0	0	0	0	0	2	10	53	0	0	0	0	24	148	15	10	58	0	0	0	45	0	0	1	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	4	0	0	0	22	0	0	0	0	0	0	0	34	0	25	0	0	4	81	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	131	79	11	0	7	223	40	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	23	0	8	0	0	0	0	0	0	1	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA
0	1	0	0	0	0	0	4	0	0	0	0	13	2	0	0	0	0	0	1	0	0	0	1	0	63	17	0	19	1	64	0	0	0	1	0	0	0	0	0	27	0	0	0	0	0	3	8	1	2	1	9	0	2	0	0	0	4	0	3	0	1	3	5	0	0	0	0	3	9	43	0	0	0	0	0	150	0	4	2	56	0	1	4	15	0	0	0	0	8	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-014
0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	11	0	0	0	0	19	0	63	0	0	0	0	0	46	1	0	54	254	11	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	6	0	1	0	0	0	0	3	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	357	0	0	0	0	0	1	1	1	0	0	0	0	1	3	1	26	0	21	0	7	0	0	0	1	1	8	0	0	0	2	97	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group
5	10	0	6	33	0	6	0	0	2	4	2	18	7	5	0	23	0	0	0	0	0	0	12	3	5	5	11	14	0	1	19	25	30	21	0	0	0	0	0	0	0	0	0	0	0	6	6	0	14	5	10	5	11	10	22	0	3	0	5	3	3	1	0	7	13	10	7	20	4	31	5	0	5	0	4	0	0	0	0	0	0	12	8	17	15	12	2	4	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
3	0	33	1	8	13	3	0	7	11	5	0	0	2	1	2	5	0	0	0	0	0	8	6	0	4	0	0	0	0	0	6	24	2	19	0	0	0	0	0	24	18	3	0	0	3	5	5	0	7	5	6	1	1	9	5	0	1	0	2	0	0	0	117	0	1	2	2	3	2	11	3	1	2	0	10	1	14	1	7	80	7	6	3	2	11	1	1	2	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Defluviitaleaceae_UCG-011
0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	4	3	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA
33	12	0	6	18	25	1	3	19	21	12	44	50	11	7	0	4	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	23	11	21	0	0	0	0	0	0	0	0	0	0	6	13	0	0	14	0	2	1	3	37	1	0	3	0	0	0	0	0	0	0	0	1	3	0	0	1	7	0	0	0	0	0	0	0	0	0	0	4	22	25	21	13	6	36	1	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
0	2	1	3	7	1	3	0	6	6	11	9	2	9	3	1	7	4	23	7	0	3	1	3	0	23	0	0	2	5	5	4	4	6	2	0	7	0	0	134	0	0	20	0	1	6	0	1	12	0	3	2	3	1	2	10	10	0	2	12	1	4	17	18	0	1	5	5	2	1	37	3	4	4	12	1	2	0	1	1	19	0	1	6	2	8	1	0	1	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
0	10	51	1	3	10	3	0	0	0	0	4	0	4	6	0	4	0	0	0	1	0	0	3	0	5	1	14	1	0	0	1	0	0	2	0	0	0	0	35	0	0	41	0	0	3	12	6	0	0	3	2	4	2	1	23	0	5	0	2	6	0	0	136	6	11	3	5	4	5	5	2	6	3	3	2	0	20	0	17	8	11	9	13	0	4	2	2	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	67	231	8	0	3	53	98	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
11	6	9	1	14	11	3	0	4	4	1	2	0	1	3	4	3	0	0	0	1	0	7	3	0	3	2	0	1	1	4	4	21	15	14	0	1	9	8	1	0	4	0	10	0	2	2	9	0	5	2	22	2	1	12	5	0	0	0	1	4	0	0	19	2	4	0	3	2	0	2	1	1	0	0	8	3	0	185	0	10	1	3	2	23	10	4	4	5	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	17	359	38	3	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor
0	0	0	0	0	0	0	1	3	0	0	41	44	0	1	0	0	2	41	0	8	117	0	2	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	8	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	2	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA
6	1	0	2	2	1	0	0	3	2	0	1	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	9	0	0	34	0	0	3	0	0	0	0	0	48	0	0	0	0	0	2	0	0	0	0	2	2	1	2	0	1	0	1	0	1	0	0	0	0	4	0	0	0	1	2	12	0	9	0	1	0	0	0	0	0	342	0	2	3	16	14	2	3	2	1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	48	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	1	0	0	2	0	0	0	0	0	30	7	25	2	288	0	0	0	0	0	0	0	0	0	3	8	3	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA
3	2	1	1	2	0	0	37	1	1	3	195	41	0	0	2	0	8	31	5	6	16	0	1	0	0	0	3	0	126	0	0	8	9	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	1	0	23	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
0	0	98	0	0	0	0	0	0	0	0	0	6	0	2	0	2	0	0	0	0	0	0	1	0	0	0	6	0	0	1	5	0	0	0	0	0	0	0	28	0	0	0	0	0	1	0	0	0	0	1	0	0	5	0	1	0	0	0	0	0	1	0	272	0	0	0	0	2	0	3	0	0	0	0	0	0	11	0	16	68	11	1	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group
0	0	0	0	0	0	0	0	0	0	2	13	0	0	1	1	0	12	92	4	43	0	0	0	1	36	0	1	0	6	1	0	1	0	0	0	0	0	0	8	0	0	0	0	2	1	0	2	72	0	0	0	0	0	0	0	57	0	128	1	0	16	31	0	0	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA
10	5	0	10	5	48	2	0	22	11	2	1	9	2	21	29	4	0	0	0	1	16	6	6	0	7	8	2	7	0	0	7	4	26	0	0	0	0	0	1	0	0	1	0	0	3	8	15	0	3	2	77	0	11	27	0	0	0	0	0	0	3	1	0	2	0	5	4	1	0	0	0	3	6	0	9	2	0	0	0	17	0	2	11	28	14	3	3	8	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
2	5	0	0	64	22	4	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	3	0	3	0	0	0	5	5	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	23	0	0	0	1	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	16	29	120	69	23	61	25	32	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	157	35	26	0	3	291	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium
1	2	0	0	5	1	0	6	0	0	0	0	26	0	0	0	0	0	0	7	0	0	0	0	0	381	0	0	7	6	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	5	0	4	0	31	0	0	33	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	1	1	4	0	0	2	2	0	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus_Saccharimonas
15	3	0	21	42	40	21	1	6	13	1	6	1	1	2	18	1	0	0	0	0	1	0	2	2	1	0	7	2	0	1	2	12	7	10	0	0	0	0	13	1	0	64	0	0	4	4	11	0	12	0	8	7	5	28	7	0	0	0	4	3	0	0	15	1	0	8	6	4	0	15	3	5	5	0	17	0	3	0	0	32	0	2	0	5	3	4	0	1	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-009
3	3	3	1	6	0	0	0	4	3	2	3	2	0	2	0	17	1	0	2	0	0	9	6	2	39	0	0	0	0	11	5	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	1	0	12	6	2	3	3	6	16	0	3	0	5	12	0	0	26	6	7	4	2	9	2	79	4	3	2	2	6	1	4	0	4	159	12	0	1	2	0	0	0	2	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
7	3	0	3	3	12	1	1	12	4	0	16	2	0	9	18	16	0	0	0	0	3	2	9	3	0	1	6	2	0	0	5	5	0	3	0	0	0	0	0	0	0	0	0	1	8	14	33	0	1	11	6	1	62	0	9	0	6	0	25	1	1	1	0	1	20	1	46	3	0	17	4	14	15	0	9	0	0	0	0	1	0	2	24	28	14	6	2	1	3	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema_2
4	4	0	0	5	2	2	41	7	0	4	59	43	0	0	0	0	0	15	17	1	22	0	0	0	0	2	0	0	104	0	0	3	1	2	0	0	0	0	1	0	2	0	0	0	4	0	1	6	1	0	0	0	0	3	1	6	0	46	0	0	6	0	0	0	1	0	0	0	0	1	0	0	1	1	0	3	0	0	0	98	1	0	2	8	0	0	1	0	5	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-014
