OUT_ID	BH.001	BH.002	BH.003	BH.004	BH.005	BH.006	BH.007	BH.008	CUC.001	CUC.002	CUC.003	CUC.004	CUC.005	CUC.006	CUC.007	CUC.008	FC.001	FC.002	FC.003	FC.004	FC.005	FC.006	FC.007	FC.008	FH.001	FH.002	FH.003	FH.004	FH.005	FH.006	FH.007	FH.008	FOC.001	FOC.002	FOC.003	HC.001	HC.002	HC.003	HC.004	HC.005	HC.006	HC.007	HC.008	HC.009	Hos.001	Hos.002	Hos.003	Hos.004	Hos.005	Hos.006	Hos.007	Hos.008	MLC.001	MLC.002	MLC.003	MLC.004	MLC.005	MLC.006	MLC.007	MLC.008	MLLH.001	MLLH.002	MLLH.003	MLLH.004	MLLH.005	MLLH.006	MLLH.007	MLLH.008	PLLC.001	PLLC.002	PLLC.003	PLLC.004	PLLC.005	PLLC.006	PLLC.007	PLLC.008	PWH.001	PWH.002	PWH.003	PWH.004	PWH.005	PWH.006	SCU.001	SCU.002	SCU.003	SCU.004	SCU.005	SCU.006	SCU.007	SCU.008	taxonomy
ASV_12	109	20	248	95	58	114	18	1	98	51	1	1	7	44	168	0	222	0	0	0	0	0	78	8	965	0	67	0	29	1	0	0	5	19	20	0	0	0	0	556	1	0	0	2	1	205	8	30	0	2	98	48	56	62	62	111	1	88	0	5	1	1	0	246	0	70	6	100	25	37	74	35	38	127	198	0	182	15	1	216	294	202	96	135	87	17	133	97	167	70	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Unassigned
ASV_13	0	0	247	0	0	0	0	0	0	1	1	0	0	1	0	2	260	2	0	0	0	0	0	184	89	0	0	19	0	0	0	0	0	0	0	2	0	0	0	830	0	0	0	0	0	0	1	0	2	0	4	0	85	22	1	457	0	914	0	766	0	9	30	202	1	242	266	25	262	214	90	23	41	223	3	20	1	5	0	8	73	12	1	2	0	0	0	0	1	0	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema_2
ASV_14	51	23	28	61	37	63	40	26	35	23	136	14	9	84	111	189	92	0	2	0	0	11	102	15	114	935	88	94	54	0	123	115	14	30	64	4	187	2	5	19	9	0	2	0	12	24	75	46	0	26	65	23	104	32	39	57	3	48	1	43	232	464	37	85	54	68	205	21	44	44	129	100	107	43	383	147	33	113	10	58	108	94	125	82	125	105	46	157	88	272	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella_4
ASV_15	107	71	38	132	75	109	50	19	184	89	238	18	16	197	144	167	250	14	10	23	2	11	161	279	103	286	162	148	235	7	66	136	37	106	152	1	2	28	5	138	453	35	143	14	128	21	175	195	9	191	161	184	171	155	62	111	19	163	20	177	195	37	10	49	96	103	131	145	137	137	161	119	139	99	160	180	49	90	16	56	110	81	81	73	90	80	101	40	61	64	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Unassigned
ASV_16	43	34	82	38	51	40	55	57	56	56	42	61	60	65	83	128	68	520	300	891	346	199	102	53	46	66	25	54	85	66	131	83	80	48	84	1	2	0	0	10	2	1	1	2	13	67	54	45	1082	17	62	24	61	95	34	82	493	91	506	145	30	38	137	93	44	77	133	107	66	80	64	95	125	93	80	53	0	101	2	37	46	77	52	51	42	55	57	64	54	52	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005
ASV_17	276	226	279	333	178	189	350	3	60	28	2	5	22	21	84	64	37	1	6	11	3	25	389	244	8	19	258	59	78	3	119	247	230	126	156	1	2	1	2	60	2	0	2	2	95	67	124	220	2	101	75	453	90	141	68	175	9	157	4	62	30	9	14	315	399	98	111	302	174	225	138	104	349	116	23	195	41	97	2	111	61	42	72	158	213	103	203	33	69	3	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
ASV_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	1	0	0	0	1	0	12	1	1	1	0	16	0	0	0	0	0	0	0	0	1	0	1075	1	0	1	0	0	0	0	0	0	0	153	0	64	19	2	137	0	147	0	3	31	0	0	1	52	54	21	2	125	139	189	40	46	27	0	15	0	0	0	0	172	0	9	0	0	0	0	0	0	1	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Unassigned
ASV_19	99	100	91	110	132	126	76	11	205	111	93	9	7	125	66	164	100	1	2	2	2	5	46	158	130	220	80	158	99	1	72	168	112	153	127	1	0	0	0	6	5	2	20	0	10	169	122	85	1	112	116	86	182	95	127	146	1	46	1	122	216	562	11	67	33	78	228	59	56	38	114	165	116	197	408	214	3	24	22	39	62	213	144	123	189	235	121	262	133	326	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Unassigned
ASV_20	73	57	193	64	103	61	122	75	126	83	48	12	12	122	149	227	65	6	5	7	3	23	166	78	40	69	41	76	90	3	150	66	153	78	100	0	0	8	0	31	23	2	103	0	11	105	104	105	17	63	93	72	65	98	53	72	16	127	17	198	41	58	35	147	37	110	99	140	136	107	68	107	106	159	65	93	37	155	40	166	302	225	122	107	64	97	71	84	64	48	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005
ASV_21	37	27	0	10	26	47	60	1	77	43	1	3	6	27	33	0	176	1	0	18	1	5	94	94	2	11	101	116	145	1	40	59	12	6	4	0	0	0	0	267	0	0	0	0	1	272	84	81	0	69	515	16	97	82	56	198	3	147	3	106	120	14	1	0	28	141	170	63	117	139	508	213	84	109	86	94	0	1	0	0	0	0	92	13	26	43	7	6	84	3	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-001
